87183181,YJNews_,YJNews,False,21338,ORG,ORG,NULL,NULL
87205530,LFHW_UK,Love Food Hate Waste,False,20158,ORG,ORG,NULL,NULL
87220411,777Okanda,Frank Lotion,False,11706,ORG,ORG,NULL,NULL
872427169,BestOfSelfie,Best Of Selfie,False,40095,NULL,NULL
NULL,NULL,NULL,NULL
872439752,ChaseSmallBiz,Chase Small Business,True,200179,1,1,/book/book_edition,Book Edition
87250968,ShakespeareFlow,Shakespeare Lyrics,False,181242,ORG,ORG,NULL,NULL
872915214,pqfasiso,CORINTHIANS MIL GRAU,False,36582,NULL,NULL
NULL,NULL,NULL,NULL
873025032,2014seniorprobs,♚ 2014 SENIORS ♚,False,94579,NULL,2,NULL,NULL
87302683,chadmendes,chad mendes,True,73329,2,1,/m/02nx2gc,Wrestler
87307588,dianiland,Presidenta ✞,False,27508,NULL,NULL,NULL,NULL
87316523,DICUCV,DIC-UCV,False,50202,ORG,ORG,NULL,NULL
87318558,AADaddario,Alexandra Daddario,True,262510,2,0,/m/02hrh1q,Actor
8732992,pcgamer,PC Gamer,False,114700,ORG,ORG,/book/magazine,Magazine
87347666,victoria1039fm,Victoria 103.9 FM,True,281919,ORG,ORG,NULL,NULL
8736882,globeandmail,The Globe and Mail,True,393959,ORG,ORG,/book/newspaper,Newspaper
87381346,yovaro,Yolanda Valenzuela,False,136131,NULL,NULL
NULL,NULL,/book/author,Author
87403396,alispagnola,Ali Spagnola,True,1521164,ORG,ORG,/music/artist,Musical Artist
874052256,OxfordPrepster,Oxford Prep,False,10880,ORG,ORG,NULL,NULL
87410067,EconCulture,The Economist,False,15007,ORG,ORG,/book/magazine,Magazine
87416722,SkyNewsBreak,Sky News Newsdesk,True,1160691,ORG,ORG,NULL,NULL
874642484,Truthful_Humor,Ted Humor,False,49593,ORG,ORG,NULL,NULL
874884121,Mike_Matei,Mike Matei,False,25394,1,1,/people/person,Person
87495754,x_factor01,X Factor,False,21000,ORG,ORG,/m/0byb_x,TV Talent Show
87500545,ConfidentInvest,Confident Investor,False,22022,ORG,ORG,NULL,NULL
875066226,Swirlovin,BlackGirls+WhiteGuys,False,23712,ORG,ORG,NULL,NULL
87529616,MeolloCriollo,Meollo Criollo,False,223563,NULL,NULL
NULL,NULL,NULL,NULL
87534416,PiKappaAlpha,Pi Kappa Alpha,False,13419,NULL,2,/education/fraternity_sorority,Fraternity/Sorority
87540358,R0MANTISMO,Frases & RefIexões ∞,False,11992,NULL,NULL,NULL,NULL
87554292,googlemapmaker,Google Map Maker,True,118410,1,2,/m/0277yhr,Web mapping Website
875771341,bibleseries,'The Bible' Series,True,78038,ORG,ORG,NULL,NULL
87582284,IAmLouisiana,King  Cal Vin,False,85874,NULL,NULL
NULL,NULL,NULL,NULL
87586376,gungormusic,Gungor,True,62431,3,1,/m/016clz,Alternative Artist
87587166,biebertoronto,jasmine,False,72143,1,2,/m/09lc9,Biological Genus
87645208,HDNER,Hurriyet Daily News ,False,28598,ORG,ORG,/book/newspaper,Newspaper
8766122,aphotoeditor,aphotoeditor,False,52197,ORG,ORG,NULL,NULL
87681715,JamieScottG6,Jamie Scott,True,160095,3,1,/m/016clz,Alternative Artist
877014152,FxckenZuly,Zuly 'Chaavez ♡,False,11481,NULL,NULL,NULL,NULL
877030532,SoDamnAdmirable,Admirable❤️,False,28267,NULL,NULL
NULL,NULL,NULL,NULL
87706322,BrightHorizons,Bright Horizons,True,21202,ORG,ORG,/business/business_operation,Business Operation
87714791,justinbieber_fr,Justin Bieber France,False,222588,1,1,/music/composition,Composition
87727049,recetasen140,Recetas en 140,False,206684,ORG,ORG,NULL,NULL
877455462,oBsaaaM,Bαssαм.,False,43954,NULL,NULL
NULL,NULL,NULL,NULL
8775672,USArmy,U.S. Army,True,417277,1,1,/military/armed_force,Armed Force
87770218,usnikefootball,Nike Football,True,304470,ORG,ORG,/m/05y5lj,Sports equipment Business
877772660,MatchPhotos,Match Photography,False,24011,ORG,ORG,NULL,NULL
877914696,explicitdrews,Shakira,False,102715,3,0,/m/02lnbg,Dance-pop Artist
87792295,SupremeJetLife,✈,False,83350,NULL,NULL,NULL,NULL
87798068,Techland,Techland,False,104404,ORG,ORG,/book/magazine,Magazine
87818409,guardian,The Guardian,True,2132246,ORG,ORG,/book/newspaper,Newspaper
878196469,Teutronz,Teutron,False,31671,1,2,NULL,NULL
87820493,MattSlavenov,Matt Slavenov,False,104525,ORG,ORG,NULL,NULL
87830601,wrmead,Walter Russell Mead,False,12849,5,1,/m/016fly,Professor
87838245,libby_trickett,Libby Trickett,True,23462,2,0,/m/02h6p1l,Swimmer
87846336,allretrovintage,Retro Vintage Shoes,False,10484,ORG,ORG,NULL,NULL
87863064,Z_O_M_B_I_3,M I N D L E S S,False,27687,ORG,ORG,NULL,NULL
87874905,VicOladipo,Victor Oladipo,True,98141,1,1,/m/03558l,Basketball Shooting guard
87914827,usosce,U.S. Mission to OSCE,True,10402,1,2,NULL,NULL
87946729,DuaneReade,Duane Reade,True,2025470,ORG,ORG,/m/03qbltx,Pharmacies and Drug Stores Business
87969079,twaggies,Team Twaggies,True,21170,NULL,NULL
NULL,NULL,NULL,NULL
87978312,NewsHourArtBeat,pbsnewshourArtBeat,False,304958,NULL,NULL
NULL,NULL,NULL,NULL
8802752,g1,G1,True,2680205,NULL,NULL
NULL,NULL,/time/recurring_event,Recurring event
88028485,may_rondon,May Rondon,False,12793,5,0,NULL,NULL
880310556,justinlong,Justin Long,True,132832,3,1,/m/02hrh1q,Actor
88057649,mslavenov,Metodi Slavenov,False,107441,NULL,1,NULL,NULL
88069914,Kik,Kik Interactive  Inc,False,213850,ORG,ORG,NULL,NULL
88073128,Nolan_Gould,Nolan Gould,True,225165,1,1,/m/02hrh1q,Actor
88120482,JoeCamisado,Joe Deak,False,97626,5,1,NULL,NULL
