ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,Label
284628430,0.05262192,0.22720048,0.017113326,0.10033181,0.0,0.0,0.03194706,0.0,0.021269284,0.0,0.0,0.0,0.023707693,0.0,0.06808701,0.05159284,0.0,0.0,0.2969357,male
64489209,0.20916669,0.3149428,0.0,0.15254593,0.0,0.0,0.037332226,0.0,0.3007696,0.0,0.0,0.0,0.0,0.0,0.033461727,0.0,0.0,0.040427696,0.48368177,female
234866000,0.0916668,0.3513356,0.013381674,0.051370222,0.0,0.018742036,0.04187236,0.0,0.27306694,0.0,0.0,0.0,0.015709361,0.0,0.030864213,0.024758952,0.0,0.031136334,0.42524776,female
382947784,0.05694288,0.107841976,0.009521084,0.028724117,0.0,0.005915668,0.028629651,0.009865358,0.06776532,0.0073110955,0.0022433177,0.0030470968,0.0025565245,0.0018366306,0.010186213,0.006224946,0.010913444,0.002503602,0.1608889,female
356418350,0.049529742,0.07031936,0.0,0.018973766,0.0,0.03243142,0.0,0.0,0.06844392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11984911,female
235832375,0.3588591,0.43663198,0.02061858,0.18707094,0.0,0.023724498,0.12963082,0.0160739,0.4063359,0.0051876204,0.0029099244,0.0,0.0,0.010292556,0.012805645,0.02207783,0.064926565,0.034563303,0.7166194,female
309800804,0.11840791,0.63916844,0.009936712,0.09210852,0.0,0.010586983,0.13171594,0.011841054,0.31694603,0.0,0.0,0.010560882,0.0,0.0042914543,0.17655341,0.012908885,0.07004469,0.012384136,0.68508416,male
295340462,0.096400715,0.19222108,0.034317393,0.029802388,0.0,0.007425308,0.02901205,0.01814759,0.18760088,0.024190746,0.0,0.0,0.0,0.008434998,0.0,0.018325243,0.0,0.0,0.32293925,female
347096222,0.0,0.113720946,0.0101144975,0.0101144975,0.0,0.0,0.0062771295,0.01465579,0.059884593,0.0,0.0,0.0,0.0,0.0,0.0,0.032903448,0.03324985,0.0,0.090585604,female
101593344,0.21084672,0.25467864,0.028938228,0.10142989,0.0,0.03656746,0.148909,0.008841844,0.12489525,0.008805207,0.0,0.0,0.0,0.008473087,0.033103544,0.023438357,0.006361314,0.014472364,0.47363004,female
380479475,0.058117982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058117982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058117982,female
290857774,0.0,0.024932599,0.0,0.0,0.0,0.0,0.0,0.0,0.024932599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024932599,female
256773287,0.061794546,0.12892401,0.038099453,0.085683845,0.0,0.009201827,0.0,0.011280597,0.07023672,0.0,0.0,0.018370224,0.0,0.008794584,0.01581576,0.009434454,0.0,0.008995749,0.21982226,male
309984509,0.5513169,0.3827367,0.018928835,0.16991839,0.0,0.030128494,0.18512428,0.0,0.45351034,0.0,0.0,0.0,0.0,0.03336109,0.062888175,0.018051693,0.039043386,0.0,0.91393906,female
292683893,0.06303077,0.13513826,0.0,0.0,0.0,0.0,0.045638267,0.0,0.087025546,0.0,0.0,0.026085403,0.0,0.022027297,0.0,0.017392503,0.0,0.0,0.19816904,male
243429263,0.021519428,0.06411631,0.015280431,0.034081772,0.0,0.0,0.038806066,0.0,0.0,0.0127479015,0.0,0.0,0.0,0.015280431,0.0,0.0,0.0,0.0,0.10091617,female
69569991,0.84221435,0.6183982,0.021817273,0.6503088,0.0,0.031943284,0.20635997,0.0250123,0.477759,0.0,0.0,0.0,0.0,0.005358649,0.052857444,0.03283,0.03716313,0.043408934,1.4018574,female
301117918,0.023167651,0.013923288,0.0,0.0,0.0,0.0,0.0,0.0,0.03709094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03709094,female
268366947,0.14010023,0.09002731,0.048066854,0.081996456,0.031619746,0.0,0.036062572,0.0,0.10643712,0.0,0.0,0.0,0.0,0.0,0.022078503,0.0,0.0,0.0,0.2781944,female
335518656,0.09890745,0.04322514,0.034499634,0.07084537,0.0,0.0,0.0,0.0,0.0625617,0.0,0.0,0.0,0.0,0.0,0.04322514,0.0,0.0,0.0,0.17663223,female
262454953,0.38385814,0.46857655,0.026419437,0.10566304,0.0021838075,0.03685499,0.12889536,0.01686846,0.5025352,0.0065204347,0.0,0.0019604138,0.0,0.00567117,0.06699545,0.0047059194,0.12068225,0.031040536,0.72713137,female
373115502,0.12575136,0.15719628,0.0,0.021477958,0.0,0.027173707,0.0,0.0,0.21006538,0.0,0.0,0.0,0.0,0.0,0.024230609,0.0,0.08431402,0.027261447,0.17137219,female
352884478,0.009757489,0.041402906,0.0,0.01685047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009757489,0.0,0.024552435,0.0,0.0,0.0,0.05116039,female
128091149,0.16931793,0.47471002,0.017620247,0.108510055,0.0,0.01935261,0.12525213,0.013580998,0.28136492,0.0,0.0,0.0,0.0,0.02142902,0.092158444,0.0,0.11593319,0.0,0.545715,female
285607620,0.07452616,0.08370446,0.025198244,0.044522967,0.0,0.0,0.0,0.029899219,0.03001803,0.0,0.0,0.022517681,0.015651146,0.0,0.0,0.04081981,0.0,0.0,0.18342884,female
37749959,0.0,2.2667987,0.113888465,0.18333273,0.0,0.0,0.60892344,0.0,0.5503056,0.099534675,0.17085326,0.0,0.13968126,0.0,0.6280563,0.0,0.13213532,0.0,2.2485518,male
320884945,0.17885911,0.6309551,0.03419246,0.15471014,0.0,0.01967103,0.22961736,0.0,0.2611132,0.0,0.0,0.0,0.0,0.0,0.16994475,0.008950278,0.13981809,0.0,0.7041886,male
251799369,0.06723329,0.113710284,0.0232285,0.05636883,0.0,0.0,0.0,0.0,0.12033575,0.0,0.0,0.0,0.0,0.0,0.027467487,0.0,0.0,0.017871458,0.1863006,female
347524374,0.072147,0.16454498,0.0,0.029658025,0.0,0.0,0.03864966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1683843,0.0,0.0,0.0,0.23669197,male
393642659,0.1750307,0.14598455,0.019288557,0.03929464,0.0,0.0,0.05607162,0.0,0.23580731,0.0,0.0,0.009130189,0.0,0.0,0.0,0.0,0.07671496,0.04834202,0.2152468,female
322956056,0.061162006,0.24418972,0.036096755,0.04974037,0.0,0.0093060145,0.050176207,0.020435624,0.09852061,0.038870525,0.0,0.0223205,0.0,0.0,0.019042144,0.033036496,0.0,0.021789271,0.3196592,female
28906465,0.73572433,0.748534,0.024613803,0.6767413,0.017293358,0.07907704,0.25583017,0.029710688,0.16683981,0.021120116,0.0,0.0,0.0,0.0,0.18055026,0.08170936,0.0,0.025203343,1.4836683,female
238452879,0.03810342,0.052328315,0.0,0.0,0.0,0.0,0.0,0.0,0.03810342,0.0,0.026157228,0.0,0.0,0.026171086,0.0,0.0,0.0,0.0,0.09043174,female
290268568,0.028660655,0.25163785,0.019675093,0.057867732,0.0,0.0,0.028660655,0.019675093,0.10986883,0.0,0.0,0.08390129,0.0,0.0,0.0,0.0,0.07349095,0.0,0.22648266,male
247085273,0.04525443,0.96165633,0.0,0.21233635,0.0,0.01777926,0.1507491,0.0,0.17745838,0.0,0.0,0.016045019,0.012312758,0.0,0.36069185,0.05953808,0.012743348,0.062517025,0.93165034,male
