ID,F1,F2,F3,Label
284628430,0.05262192,0.22720048,0.017113326,male
64489209,0.20916669,0.3149428,0.0,female
234866000,0.0916668,0.3513356,0.013381674,female
382947784,0.05694288,0.107841976,0.009521084,female
356418350,0.049529742,0.07031936,0.0,female
235832375,0.3588591,0.43663198,0.02061858,female
309800804,0.11840791,0.63916844,0.009936712,male
295340462,0.096400715,0.19222108,0.034317393,female
347096222,0.0,0.113720946,0.0101144975,female
101593344,0.21084672,0.25467864,0.028938228,female
380479475,0.058117982,0.0,0.0,female
290857774,0.0,0.024932599,0.0,female
256773287,0.061794546,0.12892401,0.038099453,male
309984509,0.5513169,0.3827367,0.018928835,female
292683893,0.06303077,0.13513826,0.0,male
243429263,0.021519428,0.06411631,0.015280431,female
69569991,0.84221435,0.6183982,0.021817273,female
301117918,0.023167651,0.013923288,0.0,female
268366947,0.14010023,0.09002731,0.048066854,female
335518656,0.09890745,0.04322514,0.034499634,female
262454953,0.38385814,0.46857655,0.026419437,female
373115502,0.12575136,0.15719628,0.0,female
352884478,0.009757489,0.041402906,0.0,female
128091149,0.16931793,0.47471002,0.017620247,female
285607620,0.07452616,0.08370446,0.025198244,female
37749959,0.0,2.2667987,0.113888465,male
320884945,0.17885911,0.6309551,0.03419246,male
251799369,0.06723329,0.113710284,0.0232285,female
347524374,0.072147,0.16454498,0.0,male
393642659,0.1750307,0.14598455,0.019288557,female
322956056,0.061162006,0.24418972,0.036096755,female
28906465,0.73572433,0.748534,0.024613803,female
238452879,0.03810342,0.052328315,0.0,female
290268568,0.028660655,0.25163785,0.019675093,male
247085273,0.04525443,0.96165633,0.0,male
309106296,0.52170765,0.52066463,0.014799683,male
206912999,0.0,0.19968851,0.007967423,male
394418954,0.014371632,0.123878926,0.015018881,male
81647059,0.27823898,0.3081291,0.0,female
88870358,1.1398001,1.0305586,0.013160404,female
129371328,0.29881975,0.18692954,0.023507465,female
376466499,0.51685166,0.49834386,0.0,male
58374966,0.9309143,1.5803725,0.05759544,male
33055549,0.4465914,0.61150956,0.051731016,male
146868029,0.0,0.055992484,0.0,male
243319382,0.05969833,0.080449075,0.0,female
53334382,0.2788178,0.8244665,0.029748986,male
263691205,0.041441314,0.9396812,0.046290714,male
134954386,0.3041396,0.3034956,0.011545082,female
23553730,0.31129476,0.22632395,0.046626966,female
333194654,0.11426448,0.08235431,0.014911174,female
261914244,0.2546146,0.42244494,0.020623704,male
264514479,0.0,0.13386305,0.0,male
270906614,0.14100537,0.59184235,0.03292457,male
