File,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,label
251395294,12,12,3,0,0,38,9,6,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,19,70,78,16,19,7,5,7,7,0,9,1,0,male
254748618,29,10,9,0,0,30,13,5,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,28,100,79,29,20,11,4,2,2,1,11,2,1,female
290301230,25,10,4,0,0,41,9,13,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,25,91,90,30,13,25,1,2,2,3,17,1,0,male
195369385,42,6,15,0,0,84,25,10,41,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,19,77,72,12,12,14,4,3,3,1,8,0,0,female
34094724,16,9,12,0,0,26,11,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,26,72,71,18,20,12,4,7,8,4,5,0,1,female
176663017,28,4,3,0,0,48,16,9,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,26,99,73,8,14,20,10,5,6,4,9,2,1,male
320884945,29,17,12,0,0,60,13,16,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,36,104,92,3,10,15,11,4,5,8,6,0,0,female
333794696,26,6,10,0,0,29,22,1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,17,81,70,11,24,8,4,2,5,0,17,2,0,male
355248546,19,8,6,0,0,27,10,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,26,47,49,10,12,17,1,4,8,2,12,4,0,female
302662448,15,6,11,0,0,46,14,13,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,42,77,69,22,20,14,9,2,5,4,11,4,0,male
229865466,31,10,11,0,0,26,14,1,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,25,90,80,12,17,27,1,6,13,3,8,6,0,female
256773287,22,10,15,0,0,45,21,10,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,26,64,73,2,6,7,2,4,3,2,9,0,1,male
25821356,25,5,7,0,0,26,9,6,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,24,66,60,16,28,16,6,9,2,5,14,4,0,male
96423170,26,18,13,0,0,52,10,11,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,37,106,82,11,16,24,7,2,5,1,4,2,0,female
58374966,23,2,7,0,0,39,13,5,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,25,82,83,8,29,15,3,5,13,4,7,1,0,male
323127182,37,11,10,0,0,51,23,9,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,33,64,112,12,14,11,3,9,1,4,9,0,0,female
218099040,29,8,6,0,0,45,25,5,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,39,75,103,7,14,8,5,6,6,0,20,0,0,male
64489209,37,2,10,0,0,73,20,15,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,40,118,97,23,26,27,16,9,6,1,7,1,3,male
268557840,22,14,12,0,0,56,15,9,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,42,126,92,13,31,9,5,8,18,2,8,2,1,male
134954386,27,6,3,0,0,33,13,8,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,16,51,70,20,17,11,4,11,4,6,15,0,0,male
208279736,27,10,8,0,0,64,15,17,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,50,101,133,13,24,20,9,5,4,1,2,1,0,female
347613520,20,2,3,0,0,26,13,4,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,22,68,89,6,10,11,4,5,20,2,13,3,0,female
129371328,29,6,6,0,0,52,25,17,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,19,99,85,27,20,14,7,3,3,3,3,0,0,male
198189594,22,9,10,0,0,45,19,13,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,25,100,102,17,20,22,7,3,14,3,5,2,0,male
296433109,9,5,3,0,0,32,14,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,26,90,85,12,24,16,4,5,6,2,6,1,0,male
391823594,23,7,9,0,0,57,24,16,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,46,90,120,27,32,16,16,6,0,2,9,0,1,male
238452879,56,10,4,0,0,70,27,13,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,36,112,95,6,15,21,11,6,4,1,6,3,0,male
40067619,19,21,9,0,0,38,15,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,43,110,111,26,23,36,8,13,14,0,33,0,0,female
203656084,34,14,13,0,0,50,24,6,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,25,133,76,6,11,19,3,17,7,2,15,1,0,female
317569543,35,11,21,0,0,64,21,13,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,34,103,110,5,18,15,10,3,12,2,24,2,0,male
