ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Label
284628430,0.10033181,0.0,0.0,0.03194706,0.0,0.021269284,0.0,0.0,0.0,0.023707693,0.0,0.06808701,0.05159284,male
64489209,0.15254593,0.0,0.0,0.037332226,0.0,0.3007696,0.0,0.0,0.0,0.0,0.0,0.033461727,0.0,female
234866000,0.051370222,0.0,0.018742036,0.04187236,0.0,0.27306694,0.0,0.0,0.0,0.015709361,0.0,0.030864213,0.024758952,female
382947784,0.028724117,0.0,0.005915668,0.028629651,0.009865358,0.06776532,0.0073110955,0.0022433177,0.0030470968,0.0025565245,0.0018366306,0.010186213,0.006224946,female
356418350,0.018973766,0.0,0.03243142,0.0,0.0,0.06844392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female
235832375,0.18707094,0.0,0.023724498,0.12963082,0.0160739,0.4063359,0.0051876204,0.0029099244,0.0,0.0,0.010292556,0.012805645,0.02207783,female
309800804,0.09210852,0.0,0.010586983,0.13171594,0.011841054,0.31694603,0.0,0.0,0.010560882,0.0,0.0042914543,0.17655341,0.012908885,male
295340462,0.029802388,0.0,0.007425308,0.02901205,0.01814759,0.18760088,0.024190746,0.0,0.0,0.0,0.008434998,0.0,0.018325243,female
347096222,0.0101144975,0.0,0.0,0.0062771295,0.01465579,0.059884593,0.0,0.0,0.0,0.0,0.0,0.0,0.032903448,female
101593344,0.10142989,0.0,0.03656746,0.148909,0.008841844,0.12489525,0.008805207,0.0,0.0,0.0,0.008473087,0.033103544,0.023438357,female
380479475,0.0,0.0,0.0,0.0,0.0,0.058117982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female
290857774,0.0,0.0,0.0,0.0,0.0,0.024932599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female
256773287,0.085683845,0.0,0.009201827,0.0,0.011280597,0.07023672,0.0,0.0,0.018370224,0.0,0.008794584,0.01581576,0.009434454,male
309984509,0.16991839,0.0,0.030128494,0.18512428,0.0,0.45351034,0.0,0.0,0.0,0.0,0.03336109,0.062888175,0.018051693,female
292683893,0.0,0.0,0.0,0.045638267,0.0,0.087025546,0.0,0.0,0.026085403,0.0,0.022027297,0.0,0.017392503,male
243429263,0.034081772,0.0,0.0,0.038806066,0.0,0.0,0.0127479015,0.0,0.0,0.0,0.015280431,0.0,0.0,female
69569991,0.6503088,0.0,0.031943284,0.20635997,0.0250123,0.477759,0.0,0.0,0.0,0.0,0.005358649,0.052857444,0.03283,female
301117918,0.0,0.0,0.0,0.0,0.0,0.03709094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female
268366947,0.081996456,0.031619746,0.0,0.036062572,0.0,0.10643712,0.0,0.0,0.0,0.0,0.0,0.022078503,0.0,female
335518656,0.07084537,0.0,0.0,0.0,0.0,0.0625617,0.0,0.0,0.0,0.0,0.0,0.04322514,0.0,female
262454953,0.10566304,0.0021838075,0.03685499,0.12889536,0.01686846,0.5025352,0.0065204347,0.0,0.0019604138,0.0,0.00567117,0.06699545,0.0047059194,female
373115502,0.021477958,0.0,0.027173707,0.0,0.0,0.21006538,0.0,0.0,0.0,0.0,0.0,0.024230609,0.0,female
352884478,0.01685047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009757489,0.0,0.024552435,0.0,female
128091149,0.108510055,0.0,0.01935261,0.12525213,0.013580998,0.28136492,0.0,0.0,0.0,0.0,0.02142902,0.092158444,0.0,female
285607620,0.044522967,0.0,0.0,0.0,0.029899219,0.03001803,0.0,0.0,0.022517681,0.015651146,0.0,0.0,0.04081981,female
37749959,0.18333273,0.0,0.0,0.60892344,0.0,0.5503056,0.099534675,0.17085326,0.0,0.13968126,0.0,0.6280563,0.0,male
320884945,0.15471014,0.0,0.01967103,0.22961736,0.0,0.2611132,0.0,0.0,0.0,0.0,0.0,0.16994475,0.008950278,male
