278855391,4799,167,341,0,female
40067619,83211,1454,552,0,female
303420630,7129,84,74,0,male
12618492,7998,5612,1199,0,male
333794696,7222,373,192,1.1952,male
38096911,9502,169,159,0,female
20999981,19119,591,82,0,female
317569543,79982,684,397,0,female
26834776,41293,209,389,0.39439937,female
179400836,11518,467,339,0,female
284628430,4550,204,232,0,male
34395240,40164,1009,565,0,female
280777389,8175,642,521,0,female
350854412,12680,1446,2002,0,male
81647059,25468,403,337,3.6437993,female
292683893,6831,317,249,0,male
34768779,2260,46,261,0,female
161521811,19696,993,1999,0,female
25963856,33418,999,877,0,female
300928318,11583,516,318,0,female
392169870,22270,519,418,0,female
373115502,5073,424,282,0,female
327994124,11416,431,251,0,male
287350897,4156,347,390,0,female
19741661,8330,445,312,0,male
327078534,12476,432,198,0,male
32331128,18032,10917,1085,0,male
81860959,23911,1047,856,0,male
20214831,53518,587,436,0,male
76225956,10276,1684,1997,-2.1098,male
42569198,4862,418,702,0,male
61270735,55800,1006,923,0,female
265685722,6592,475,467,0,female
30597694,5348,78,259,0,female
66154344,39703,574,291,-1.9349998,male
144415967,36198,1295,914,0,female
155010707,3827,78,284,0,male
40925887,4627,449,859,0,male
267932188,26919,489,359,0,male
30601748,48604,189,37,0,female
302258234,2424,333,319,0,female
320884945,13042,356,386,0,male
51877583,8881,124,120,0,female
376466499,5790,225,311,0,male
230097513,20641,6974,746,0,female
53334382,12296,123,253,0,male
352884478,10015,474,359,0,female
22177502,2315,186,257,0.2232,male
254401928,11317,345,401,0,male
295340462,64401,528,585,0,female
259901233,6235,579,338,0,female
195369385,30063,695,859,0,female
94761111,3047,129,124,0,male
392299250,6794,190,319,0,female
160059197,18614,236,341,0,male
286876100,21255,249,87,0,female
255293339,21416,221,136,0,male
338167123,7157,731,80,0,female
253297807,25557,590,489,1.3005996,female
101593344,9275,1659,1983,0,female
343838566,43088,854,388,0,female
256773287,14639,610,608,0,male
377660514,43479,436,322,0,female
95671622,50893,367,279,0,male
336950490,91800,820,333,0,male
319450103,22330,286,606,0,male
246415736,11819,267,289,0,male
340007841,1496,145,223,0,female
39897844,33916,738,512,0,male
79753992,6105,367,270,0,female
123986340,6002,71,74,0,male
363979395,19954,550,353,0,female
310445971,6814,331,498,-3.3082,male
309303548,20179,1092,589,0,female
251717831,37429,670,502,0,female
208279736,11092,438,488,0,female
88870358,13592,201,572,0,female
69569991,4545,149,779,0.9826,female
235832375,9542,708,1952,0.33000043,female
391823594,5572,90,129,0,female
308215920,3989,218,453,0,male
176663017,11235,272,179,0,female
160659354,13069,415,345,0,female
308817567,4874,458,454,0,male
340737708,13483,338,262,0,female
309106296,2078,284,351,0,male
28906465,14000,442,316,0,female
176227825,4505,146,156,0,male
357813572,14018,335,374,0,female
24472132,4391,292,381,0,male
351327876,2657,286,51,-1.4832007,male
261914244,5281,35606,2453,0,male
43019337,17938,427,247,0,female
255799705,616,40,68,0,male
237413240,7648,232,94,0,male
321447612,4795,173,329,0,male
82341423,20741,471,331,0,male
64367166,83786,11327,209,0,male
30972374,6910,146,141,0,female
288376490,25327,473,370,0,female
30822218,15350,234,200,0,female
382156129,3489,137,309,0,male
219049295,9722,434,468,7.5464,male
189895266,29892,825,670,-0.1992002,female
271157909,6827,559,288,0,female
25897435,37538,1544,732,0,female
34094724,8292,420,150,0,male
135782947,2704,6574,181,0,male
381572221,7089,141,119,0,male
96066368,3174,115,119,0,female
100119657,11224,396,223,4.7664,female
52975520,16146,557,1238,2.3207994,male
25821356,3897,204,653,1.2479999,male
245264669,10270,516,421,0.08999872,male
230580525,12149,391,337,0,male
33925367,14002,214,122,0,female
197700578,11725,705,516,0,male
382947784,21754,1969,2119,0,female
288715240,9779,273,259,0,female
234866000,40815,541,359,0,female
