ID,F1,F2,F3,F4,F5,Label
284628430,0.13803482,0.020385142,0.02721357,0.06782456,0.043477625,male
64489209,0.11580066,0.17033386,0.16289356,0.075081415,0.0,female
234866000,0.3224138,0.06126047,0.07270982,0.0,0.0,female
382947784,0.041391294,0.050137658,0.049970582,0.007727411,0.025078995,female
356418350,0.08479035,0.0,0.022656301,0.0,0.012402448,female
235832375,0.3096199,0.19156297,0.14482857,0.077903286,0.09219478,female
309800804,0.10550599,0.3527936,0.17585833,0.059223842,0.074131355,male
295340462,0.1297026,0.041539583,0.0906017,0.028365059,0.032730293,female
347096222,0.08638186,0.0101144975,0.0,0.0,0.027339099,female
101593344,0.11549697,0.051807847,0.13350603,0.10771387,0.08593894,female
380479475,0.023529554,0.03458843,0.0,0.0,0.0,female
290857774,0.0,0.024932599,0.0,0.0,0.0,female
256773287,0.13360775,0.017404163,0.028786682,0.036595568,0.012423846,male
309984509,0.32362646,0.15356015,0.2811675,0.10216016,0.09246816,female
292683893,0.12523822,0.045638267,0.0,0.0,0.027292533,male
243429263,0.062110104,0.0,0.0,0.0,0.038806066,female
69569991,0.49101523,0.4767167,0.20224506,0.19009008,0.12236248,female
301117918,0.010721851,0.0,0.026369087,0.0,0.0,female
268366947,0.102535665,0.104130186,0.07152855,0.0,0.0,female
335518656,0.09706133,0.07957089,0.0,0.0,0.0,female
262454953,0.1713464,0.21564381,0.2870837,0.12350646,0.08127386,female
373115502,0.13504116,0.048146576,0.051404316,0.0,0.04835559,female
352884478,0.034309924,0.0,0.01685047,0.0,0.0,female
128091149,0.09914821,0.30725598,0.20024803,0.016654985,0.038341,female
285607620,0.100197144,0.03001803,0.0,0.0,0.053213682,female
37749959,1.2170568,0.24383518,0.46490696,0.28026855,0.1746198,male
320884945,0.091358766,0.22224052,0.2961394,0.18378541,0.050482664,male
251799369,0.041577682,0.057912674,0.074199684,0.018697944,0.011784087,female
347524374,0.09124071,0.11684913,0.02296182,0.0,0.005640319,male
393642659,0.16350241,0.114999324,0.04319831,0.0,0.018603712,female
322956056,0.15093596,0.07673134,0.07152964,0.023209393,0.019042144,female
28906465,0.3277359,0.21156229,0.5608537,0.26928082,0.13943928,female
238452879,0.06427451,0.0,0.0,0.026157228,0.0,female
290268568,0.049971353,0.091559984,0.045880318,0.0,0.112561956,male
247085273,0.18839744,0.21876207,0.28044313,0.2055079,0.113800265,male
309106296,0.19991569,0.22736871,0.35655078,0.14398439,0.12935244,male
206912999,0.07772333,0.036057286,0.029793452,0.025907347,0.038174517,male
394418954,0.050145067,0.048238937,0.044108942,0.0,0.010776486,male
81647059,0.15264408,0.20149812,0.20897046,0.023255443,0.0,female
88870358,0.3739607,0.7512634,0.6505191,0.27387628,0.13389914,female
129371328,0.059847128,0.2125811,0.090900324,0.06976144,0.076166734,female
376466499,0.34863377,0.37325144,0.29331037,0.0,0.0,male
58374966,0.6726358,0.72621566,0.7348501,0.34977582,0.08540426,male
33055549,0.29856095,0.15636058,0.34581608,0.07538381,0.23371063,male
146868029,0.055992484,0.0,0.0,0.0,0.0,male
243319382,0.019106891,0.06759005,0.03381326,0.0137256775,0.0059115225,female
53334382,0.45788985,0.10013757,0.31006315,0.11409182,0.15085088,male
263691205,0.5329766,0.19965898,0.0,0.19984098,0.09493671,male
134954386,0.19693112,0.16473407,0.14315479,0.040665004,0.07369534,female
23553730,0.2645121,0.11788434,0.120911,0.047003653,0.03393461,female
333194654,0.0958374,0.05392803,0.029042806,0.0027842626,0.029937476,female
261914244,0.24796362,0.18033321,0.157606,0.06617789,0.04560244,male
