File,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,Label
382947784,1050,1363,640,282,200,32,249,150,96,152,190,404,634,137,298,70,209,325,157,187,147,80,58,33,17,0,0,74,26,14,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,40,159,161,11,33,13,8,3,16,7,8,6,0,female
386731248,1491,817,452,208,122,34,177,110,59,89,111,279,380,58,236,55,102,193,82,80,80,43,28,9,8,0,0,50,23,12,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,30,79,81,21,19,19,4,3,4,3,4,1,1,female
391823594,850,1004,453,241,165,24,176,101,56,87,106,355,471,86,274,56,137,260,100,112,91,44,22,7,9,0,0,57,24,16,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,46,89,117,27,32,16,16,6,0,2,8,0,1,female
392169870,1038,874,483,248,150,20,225,128,53,79,79,282,423,63,232,36,113,245,81,140,75,68,30,32,9,0,0,45,14,9,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,28,130,90,23,11,8,2,0,9,1,17,2,0,female
393642659,1078,815,411,218,136,27,209,136,36,50,77,308,388,52,251,35,107,200,96,111,71,31,22,6,2,0,0,40,10,7,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,36,91,105,10,14,16,6,9,10,1,34,3,0,female
394418954,1482,537,206,92,58,19,94,60,21,43,105,182,244,70,115,30,59,150,42,57,55,35,20,5,4,0,0,35,10,13,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,23,62,62,13,15,14,2,1,3,3,7,2,0,male
39897844,996,742,337,168,100,25,131,73,43,59,125,231,298,59,167,32,75,211,59,78,64,28,21,6,6,0,0,39,12,7,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,30,111,74,44,25,11,5,6,8,2,7,0,0,male
40067619,902,1170,574,280,184,33,183,112,42,120,111,424,568,107,325,69,164,241,131,142,109,61,18,22,9,0,0,36,11,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,40,106,111,27,23,32,10,13,12,0,29,1,0,female
40352693,898,873,383,192,114,19,160,65,64,66,152,245,364,58,186,31,101,210,81,102,81,32,29,10,4,0,0,39,11,13,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,26,88,93,12,22,15,1,12,10,4,8,4,1,male
404439154,1127,731,463,221,118,34,178,94,52,81,87,255,335,87,171,53,109,148,61,78,57,34,26,10,6,0,0,33,7,7,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,20,83,68,8,15,12,3,5,2,1,11,1,0,male
40604299,1263,910,360,165,88,24,137,94,42,75,137,287,418,79,223,48,109,232,98,108,72,54,32,2,14,0,0,39,19,6,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,36,107,98,11,31,29,5,14,2,1,13,4,0,male
40925887,1255,682,365,158,51,30,150,62,24,53,86,217,318,57,158,38,79,157,70,76,57,45,24,2,5,0,0,46,20,8,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,27,72,66,14,16,20,1,4,5,0,15,0,0,male
41536249,2101,902,326,123,51,27,125,87,42,64,164,222,339,80,158,23,94,314,70,70,64,59,17,10,12,0,0,29,6,11,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,45,138,99,53,34,24,11,14,10,12,6,2,0,male
42510888,688,534,317,171,124,24,107,70,21,36,49,160,220,50,112,27,68,132,50,65,53,21,7,11,3,0,0,26,3,8,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,23,48,48,8,14,12,4,1,3,2,12,5,0,male
42569198,1183,542,313,175,121,4,122,57,30,56,51,157,212,40,121,28,52,133,60,66,35,36,18,14,5,0,0,17,5,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,26,63,50,11,12,5,2,12,3,1,41,6,0,male
43019337,974,947,534,253,159,27,174,118,46,87,108,286,393,68,220,48,132,229,67,86,96,41,19,11,8,0,0,47,21,12,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,40,101,90,8,14,20,9,6,7,0,14,0,0,female
47992126,552,693,313,135,78,21,133,93,46,78,84,252,322,72,183,33,101,186,69,75,80,38,11,12,6,0,0,25,6,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,36,75,94,32,29,13,3,5,7,2,6,1,0,male
49100561,1359,1152,527,215,84,19,201,84,57,127,154,414,556,91,327,66,148,275,107,117,89,44,19,13,0,0,0,46,9,15,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,37,112,82,26,18,16,6,21,7,4,25,4,0,male
51877583,973,964,464,218,123,24,162,90,51,90,147,299,459,65,239,73,147,214,90,98,96,53,34,12,9,0,0,57,22,8,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,31,90,101,30,22,16,9,9,6,4,12,1,0,female
52736381,961,883,402,186,102,32,160,101,24,88,109,310,407,77,234,68,110,237,89,97,74,61,24,19,3,0,0,21,6,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,33,112,96,11,27,13,6,7,4,1,15,3,0,male
52975520,1421,1485,670,252,124,27,208,144,71,174,221,453,695,136,338,86,223,375,143,117,151,78,30,17,13,0,0,41,8,11,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,26,148,109,37,44,62,7,9,8,4,11,3,0,male
53334382,1201,906,272,113,75,10,116,72,60,80,156,254,371,79,191,36,104,271,87,91,87,53,28,17,3,0,0,38,13,14,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,32,107,120,25,23,24,3,15,7,3,0,0,0,male
55482997,1085,895,456,209,113,21,192,73,80,91,144,337,420,60,281,61,127,213,71,82,79,44,55,7,12,0,0,61,17,11,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,34,117,86,10,17,32,8,4,15,8,16,2,0,male
