UID,nameFeature,bioFeatures,label
278855391,-3.7432003,0.0,female
40067619,-4.6080003,0.0,female
303420630,2.1924,0.0,male
12618492,4.7136,0.0,male
333794696,0.0,1.1952,male
38096911,-6.5018,0.0,female
20999981,-4.7328,0.0,female
317569543,0.0,0.0,female
26834776,-4.7712,0.39439937,female
179400836,-4.6608005,0.0,female
284628430,4.2692,0.0,male
34395240,-4.4736,0.0,female
280777389,-4.6176004,0.0,female
350854412,4.2144003,0.0,male
81647059,0.0,3.6437993,female
292683893,1.8720005,0.0,male
34768779,-4.1712003,0.0,female
161521811,0.0,0.0,female
25963856,-4.5984,0.0,female
300928318,-7.6916003,0.0,female
392169870,0.0,0.0,female
373115502,-4.296,0.0,female
327994124,4.5072002,0.0,male
287350897,0.0,0.0,female
19741661,7.7566004,0.0,male
327078534,0.0,0.0,male
32331128,4.4592004,0.0,male
81860959,2.208,0.0,male
20214831,6.6589994,0.0,male
76225956,4.7136,-2.1098,male
42569198,4.656,0.0,male
61270735,0.0,0.0,female
265685722,-7.8719997,0.0,female
30597694,-0.2440002,0.0,female
66154344,2.8128,-1.9349998,male
144415967,0.0,0.0,female
155010707,7.6178,0.0,male
40925887,8.2944,0.0,male
267932188,0.0,0.0,male
30601748,-7.1507998,0.0,female
302258234,-2.9340003,0.0,female
320884945,2.5776,0.0,male
51877583,-6.0624003,0.0,female
376466499,0.0,0.0,male
230097513,-6.8874006,0.0,female
53334382,4.7712,0.0,male
352884478,-7.5439997,0.0,female
22177502,4.5168,0.2232,male
254401928,0.72,0.0,male
295340462,-4.0128,0.0,female
259901233,-4.584,0.0,female
195369385,-0.2016,0.0,female
94761111,4.4784,0.0,male
392299250,0.0,0.0,female
160059197,0.0,0.0,male
286876100,-3.564,0.0,female
255293339,6.377,0.0,male
338167123,-4.224,0.0,female
253297807,-2.4511998,1.3005996,female
101593344,-4.5984,0.0,female
343838566,-4.5360003,0.0,female
256773287,2.8049998,0.0,male
377660514,-7.664,0.0,female
95671622,0.0,0.0,male
336950490,4.8624,0.0,male
319450103,4.4784,0.0,male
246415736,1.8060005,0.0,male
340007841,-2.2368,0.0,female
39897844,0.0,0.0,male
79753992,-4.6176004,0.0,female
123986340,4.7424,0.0,male
363979395,-4.6128,0.0,female
310445971,0.0,-3.3082,male
309303548,-8.0688,0.0,female
251717831,-4.7328,0.0,female
208279736,-4.5672007,0.0,female
88870358,-3.7259996,0.0,female
69569991,-5.357,0.9826,female
235832375,-3.5172,0.33000043,female
391823594,0.0,0.0,female
308215920,0.0,0.0,male
176663017,0.0,0.0,female
160659354,-4.3776,0.0,female
308817567,0.0,0.0,male
340737708,-0.9024,0.0,female
309106296,2.6448002,0.0,male
28906465,-4.7712,0.0,female
176227825,4.6656003,0.0,male
357813572,-4.5168,0.0,female
24472132,4.6704,0.0,male
351327876,4.4784,-1.4832007,male
261914244,4.392,0.0,male
43019337,-7.8792005,0.0,female
255799705,4.5744004,0.0,male
237413240,3.9426005,0.0,male
321447612,4.7712,0.0,male
82341423,0.0,0.0,male
64367166,4.2720003,0.0,male
30972374,0.0,0.0,female
288376490,0.0,0.0,female
30822218,-4.4112005,0.0,female
382156129,7.9704,0.0,male
219049295,5.1972003,7.5464,male
189895266,-4.7568,-0.1992002,female
271157909,2.4624002,0.0,female
25897435,-6.8552003,0.0,female
34094724,3.1643999,0.0,male
135782947,8.052401,0.0,male
381572221,4.4784,0.0,male
96066368,0.0,0.0,female
100119657,-3.7279997,4.7664,female
