UID,nameFeature,bioFeatures,label
32623333,-7.8802004,0.0,female
169001284,-1.0451999,0.0,female
233808043,-8.0606,0.0,female
126155886,4.7520003,-2.8863997,male
36227219,-7.5112,-2.8253996,female
203656084,4.5168,0.0,male
15886924,1.0175998,0.0,male
320431059,4.3056,-6.0895087E-7,male
91925221,1.8720005,-1.7115997,male
62552349,4.6608005,0.0,male
268557840,-4.2624,0.0,female
294864398,0.8636,0.25399995,male
36929472,-4.5072002,0.033999998,female
254748618,0.0,0.0,female
290857774,-10.1924,0.0,female
296433109,0.0,0.0,male
70724896,2.8229997,1.5936,male
134120927,-0.384,0.0,female
68979118,-2.5392,0.0,female
229865466,4.3056,0.0,male
156393615,1.1916,0.0,male
351687363,0.0,0.0,female
114866787,4.7136,0.0,male
313660948,-4.6164,0.0,female
346073826,7.9439993,0.0,male
368368493,-7.2159996,0.0,female
40352693,0.0,0.0,male
231497380,7.6019998,0.0,male
252413333,-1.3560004,0.0,female
294823376,-7.352,0.0,female
240492997,0.7872002,0.0,male
183115415,-4.3824,-2.9215999,female
234586270,0.0,0.0,female
238452879,0.0,2.1615999,female
170547353,-4.6080003,0.0,female
253438069,-3.066,0.0,female
281289188,0.0,0.0,male
344215167,-8.0442,0.0,female
353824529,-4.2924004,-1.4612,female
33055549,4.7136,0.0,male
161790425,-8.0472,0.0,female
241666095,0.0,2.9189997,male
257513036,-4.7712,-1.7015997,female
309984509,-4.224,0.0,female
47992126,-0.21759987,2.0135996,male
22994551,8.1016,0.0,male
249449454,0.0,2.6879997,male
59534956,-4.4688,0.0,female
128091149,-4.6896,0.0,female
386731248,-11.171,0.0,female
352856870,-4.7664,-1.7712001,female
123042176,-4.5168,0.0,female
125217315,-4.6848,-7.8079996,female
243429263,-7.8802004,0.7688006,female
25940641,-4.6128,2.9055998,female
114044206,4.7424,-1.1802001,male
146868029,4.776,0.0,male
309800804,2.208,0.0,male
8465072,4.6704,0.0,male
264514479,1.7170001,0.0,male
69151701,4.7136,0.0,male
404439154,6.525,0.0,male
253766808,0.0,0.0,female
335518656,-4.5984,0.0,female
28176987,2.4096,0.0,male
323127182,0.0,0.0,male
231083817,0.0,0.0,female
332456403,4.3056,0.0,male
347524374,4.5312004,0.0,male
271739194,1.8780003,0.0,male
64489209,-4.224,0.0,female
139272125,0.0,-1.1639999,male
218526813,-3.4956,-1.5468001,male
351067358,-4.7712,0.0,female
86168724,4.7136,0.13279979,male
262454953,-4.5168,0.0,female
290301230,-4.2624,0.0,female
251395294,-4.6956,0.0,female
263691205,5.5856,0.0,male
42510888,4.2720003,0.0,male
75281385,-1.4003999,1.5935997,female
357971946,1.6415999,0.0,female
945721,2.6448002,0.0,male
307701289,5.3163996,3.1892,male
164094199,-4.5264,0.0,female
80862068,4.4592004,-3.3152006,male
394418954,4.7520003,0.0,male
356418350,-1.4064,0.0,female
59524706,7.6178,0.0,male
322987477,4.6512003,0.0,male
